DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-01,2.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-02,2.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-03,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-04,1.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-05,2.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-06,2.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-07,2.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-08,2.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-09,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-10,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-11,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1997-12,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-01,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-02,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-03,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-04,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-05,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-06,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-07,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-08,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-09,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-10,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-11,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1998-12,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-01,1.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-02,1.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-03,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-04,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-05,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-06,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-07,2.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-08,2.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-09,2.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-10,2.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-11,2.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,1999-12,3.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-01,2.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-02,2.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-03,2.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-04,2.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-05,3.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-06,3.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-07,2.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-08,2.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-09,2.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-10,2.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-11,2.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2000-12,2.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,Denmark,2001-01,2.3,,
